排名,电影名,评分,评论数,上映时间
1,肖申克的救赎,9.7,3034709,1994-09-10
2,霸王别姬,9.6,2243123,1993-07-26
3,控方证人,9.6,618751,1957-12-17
4,泰坦尼克号,9.5,2300393,1998-04-03
5,阿甘正传,9.5,2261196,1994-06-23
6,美丽人生,9.5,1383728,2020-01-03
7,辛德勒的名单,9.5,1170589,1993-11-30
8,茶馆,9.6,169843,1982
9,这个杀手不太冷,9.4,2387126,1994-09-14
10,千与千寻,9.4,2349378,2019-06-21
11,盗梦空间,9.4,2163507,2010-09-01
12,星际穿越,9.4,1966404,2014-11-12
13,楚门的世界,9.4,1820198,1998-06-05
14,忠犬八公的故事,9.4,1450638,2009-06-13
15,熔炉,9.4,973020,2011-09-22
16,大闹天宫,9.4,465380,1961
17,背靠背，脸对脸,9.5,150985,1994-09-10
18,十二怒汉,9.4,525049,1957-04-10
19,无间道,9.3,1441731,2003-09-05
20,海上钢琴师,9.3,1748768,2019-11-15
21,末代皇帝,9.3,941397,1987-10-04
22,活着,9.3,895437,1994-05-17
23,放牛班的春天,9.3,1373703,2004-10-16
24,鬼子来了,9.3,660094,2000-05-12
25,触不可及,9.3,1184061,2011-11-02
26,教父,9.3,1019564,1972-03-15
27,高山下的花环,9.5,112023,1985-11-07
28,指环王3：王者无敌,9.3,844658,2004-03-12
29,乱世佳人,9.3,726903,1939-12-15
30,素媛,9.3,722086,2013-10-02
31,钢琴家,9.3,683838,2002-05-24
32,海蒂和爷爷,9.3,676744,2019-05-16
33,教父2,9.3,585073,1974-12-12
34,三傻大闹宝莱坞,9.2,1939443,2011-12-08
35,当幸福来敲门,9.2,1584163,2008-01-17
36,饮食男女,9.2,657315,1994-05-13
37,蝙蝠侠：黑暗骑士,9.2,1113967,2008-07-14
38,摩登时代,9.3,319125,1936-02-25
39,指环王2：双塔奇兵,9.2,793415,2003-04-25
40,死亡诗社,9.2,782471,1989-06-02
41,天堂电影院,9.2,703059,2021-06-11
42,芙蓉镇,9.3,158052,1987-03-05
43,辩护人,9.2,618166,2013-12-18
44,穿条纹睡衣的男孩,9.2,597197,2008-08-28
45,窃听风暴,9.2,592067,2006-03-23
46,横空出世,9.4,93186,1999-12-12
47,美国往事,9.2,436313,1984-02-17
48,小鞋子,9.2,431460,1997-02-01
49,少年派的奇幻漂流,9.1,1403706,2012-11-22
50,怦然心动,9.1,1915992,2010-07-26
51,飞屋环游记,9.1,1391139,2009-08-04
52,七武士,9.3,210331,1954-04-26
53,猫鼠游戏,9.1,1095391,2003-04-11
54,何以为家,9.1,1093441,2019-04-29
55,罗马假日,9.1,987544,1953-08-20
56,闻香识女人,9.1,938974,1992-12-23
