排名,电影名,评分,评论数,上映时间,
1,三傻大闹宝莱坞,9.2,1939877,2011/12/8,
2,狮子王,9.1,890094,1995/7/15,
3,音乐之声,9.1,634112,1965/3/2,
4,雨中曲,9.1,242424,1952/4/11,
5,摇滚红与黑,9.2,22605,2016/9/22,
6,芝加哥,8.9,169242,2002/12/27,
7,伊丽莎白,9.6,10110,2005/12/5,
8,被嫌弃的松子的一生,8.8,732738,2006/5/27,
9,跳出我天地,8.8,111986,2000/5/19,
10,吉屋出租：百老汇剧场版,9.3,12570,2008/9/24,
11,莫扎特！,9.5,9119,2015/12/4,
12,罗密欧与朱丽叶,9.4,10292,2002/2/6,
13,悲惨世界,8.7,348762,2013/2/28,
14,爱丽丝梦游仙境,8.7,36086,1951/7/26,
15,冰雪奇缘,8.5,737759,2014/2/5,
16,来自远方,9.2,9803,2021/9/10,
17,美女与野兽,8.5,197534,1991/9/29,
18,巴斯特·斯克鲁格斯的歌谣,8.5,142758,2018/8/31,
19,小美人鱼,8.5,110107,1989/11/17,
20,爱乐之城,8.4,999942,2017/2/14,
21,白雪公主和七个小矮人,8.4,132001,1937/12/21,
22,歌厅,8.8,14385,1972/2/13,
23,仙履奇缘,8.4,74110,1950/3/4,
24,出水芙蓉,8.5,30976,1944/6/27,
25,小飞象,8.4,33880,1941/10/31,
26,阳光姐妹淘,8.3,68776,2018/8/31,
27,小飞侠,8.4,32902,1953/2/5,
28,睡美人,8.3,50513,1959/1/29,
29,芭比之真假公主,8.5,19661,2004/9/28,
30,黑暗中的舞者,8.2,83602,2000/5/17,
31,窈窕淑女,8.2,110516,1964/12/25,
32,摇摆狂潮,8.2,54346,2018/12/19,
33,绿野仙踪,8.2,53582,1939/8/12,
34,欢乐好声音,8.1,292559,2017/2/17,
35,穿靴子的猫2,8.1,105513,2022/12/23,
36,永不消逝的电波(舞剧),9.4,2520,2020/5/14,
37,倒数时刻,8.1,72588,2021/11/10,
38,芭比公主之钻石城堡,8.5,12584,2008/9/4,
39,小公主,8.4,14235,1939/3/10,
40,爵士春秋,8.5,10773,1979/12/20,
41,小熊维尼历险记,8.3,15899,1977/7/16,
42,谈谈情跳跳舞,8.2,21056,1996/1/27,
43,杨贵妃,8.4,6730,1992,
44,洛基恐怖秀,8.1,26034,1975/8/14,
45,红磨坊,7.9,138298,2001/5/9,
46,吉屋出租,8.4,11011,2005/11/23,
47,伟大征程——庆祝中国共产党成立100周年文艺演出,9.2,2452,2021/7/1,
48,五朵金花,8.1,11674,1959,
49,丝路花雨,9.1,2566,1982,
50,十分钟年华老去：大提琴篇,8.2,15319,2002/9/3,
51,宝莱坞生死恋,8.2,13913,2002/7/11,
52,理发师陶德,7.8,154167,2007/12/21,
53,芭比之胡桃夹子,8.2,13016,2001/10/2,
54,东方红,8.8,3089,1965/10/1,
55,小王子,9.3,3763,2002,
56,洞,8.1,8803,1998/9/14,
57,雾都孤儿,8.3,10212,1968/9/26,
58,欢乐满人间,8.2,11617,1964/8/27,
59,如果·爱,7.7,249882,2005/12/1,
