排名,电影名,评分,评论数,上映时间
1,肖申克的救赎,9.7,3182792,1994-09-10
2,控方证人,9.6,674179,1957-12-17
3,这个杀手不太冷,9.4,2491104,2024-11-01
4,无间道,9.3,1514647,2003-09-05
5,教父,9.3,1069479,1972-03-15
6,教父2,9.3,616009,1974-12-12
7,控方证人,9.4,96805,1982-12-04
8,蝙蝠侠：黑暗骑士,9.2,1160378,2008-07-14
9,猫鼠游戏,9.1,1163664,2003-04-11
10,无间道(正序版),9.2,85626,2006
11,两杆大烟枪,9.1,656924,1998-08-28
12,美国往事,9.1,457581,1984-02-17
13,未麻的部屋,9.1,406704,1997-08-05
14,完美的世界,9.1,350567,1993-11-24
15,教父3,9.0,417857,1990-12-25
16,上帝之城,9.0,326470,2002-05-18
17,末路狂花,9.0,324191,1991-05-24
18,偷自行车的人,9.1,118406,1948-11-24
19,功夫,8.9,1287704,2004-12-23
20,恐怖分子,9.0,90893,1986-12-19
21,沉默的羔羊,8.9,986010,1991-02-14
22,低俗小说,8.9,929382,1994-05-12
23,杀人回忆,8.9,809236,2003-05-02
24,蝙蝠侠：黑暗骑士崛起,8.9,792347,2012-08-27
25,洞,9.2,58628,1960-03-18
26,牯岭街少年杀人事件,8.9,353230,1991-07-27
27,可可西里,8.9,336490,2004-10-01
28,新世界,8.9,508033,2013-02-21
29,神探夏洛克：福至如归,9.2,54835,2013-12-24
30,绿里奇迹,8.9,376521,1999-12-10
31,盲井,8.9,155168,2003-02-12
32,十二怒汉,9.3,39910,1997-08-17
33,十二怒汉（电视版）,9.5,27951,1954-09-20
34,追随,8.9,198591,1998-04-24
35,芝加哥,8.9,185003,2002-12-27
36,洛城机密,8.9,181652,1997-09-19
37,看不见的客人,8.8,1401306,2017-09-15
38,七宗罪,8.8,1029474,1995-09-22
39,无间道2,8.8,548768,2003-10-17
40,纵横四海,8.8,464416,1991-02-02
41,电话谋杀案,8.9,152950,1954-05-29
42,四百击,8.9,134852,1959-05-04
43,枪火,8.8,254535,1999-11-19
44,神探夏洛克：最后的誓言,9.0,77217,2014-01-12
45,盲山,8.8,200269,2007-05-20
46,罗生门,8.8,348488,1950-08-26
47,爱尔兰人,8.8,278831,2019-09-27
48,小丑,8.7,1104354,2019-08-31
49,心迷宫,8.7,596151,2015-10-16
50,消失的爱人,8.7,1047331,2014-09-26
51,三块广告牌,8.7,898547,2018-03-02
52,小偷家族,8.7,879930,2018-08-03
53,恐怖直播,8.7,712272,2013-07-31
54,记忆碎片,8.7,654375,2000-09-05
55,无耻混蛋,8.7,538236,2009-05-20
56,荒蛮故事,8.7,502721,2025-04-11
57,战争之王,8.7,405309,2005-09-16
58,八恶人,8.7,305867,2015-12-07
59,燕尾蝶,8.7,186992,1996-09-04
60,星际牛仔 天国之门,9.0,44596,2001-09-01
61,疯狂的石头,8.6,903153,2006-06-30
62,英雄本色,8.6,592747,2017-11-17
63,名侦探柯南：世纪末的魔术师,8.7,147764,1999-04-17
64,阳光普照,8.6,407473,2019-09-06
65,暗战,8.6,272890,1999-09-23
66,蝙蝠侠：侠影之谜,8.6,449609,2005-06-29
67,猜火车,8.6,429933,1996-02-23
68,发条橙,8.6,401733,1971-12-19
69,因果报应,8.6,374054,2024-11-29
70,热天午后,8.7,113787,1975-09-21
71,撞车,8.6,305087,2004-09-10
72,金福南杀人事件始末,8.6,298832,2010-05-14
73,误杀瞒天记,8.6,287953,2022-04-15
74,非常嫌疑犯,8.6,281549,1995-01-25
75,大卫·戈尔的一生,8.6,253126,2003-02-21
76,出租车司机,8.6,243833,1976-02-08
77,精英部队2：大敌当前,8.7,92219,2011-11-25
78,尼罗河上的惨案,8.6,184333,1978-09-29
79,东方快车谋杀案,8.6,174426,1974-11-24
80,阿飞正传,8.5,555495,2018-06-25
81,神探,8.5,337214,2008-02-22
82,花火,8.6,135666,1997-09-03
83,香水,8.5,575282,2006-09-07
84,网络谜踪,8.5,555222,2018-12-14
85,黄海,8.5,257063,2010-12-22
86,变脸,8.5,400040,1997-06-27
87,速度与激情5,8.5,387170,2011-05-12
88,杰伊·比姆,8.7,69793,2021-11-02
89,坏孩子的天空,8.6,113401,1996-07-27
90,一级恐惧,8.5,251479,1996-04-03
91,西部往事,8.7,62734,1968-12-20
92,骗中骗,8.7,62447,1973-12-25
93,偷拐抢骗,8.5,207438,2000-09-01
94,喋血双雄,8.5,94497,1989-07-06
95,风声,8.4,650205,2009-09-29
96,无人区,8.4,576613,2013-12-03
97,速度与激情7,8.4,502947,2015-04-12
98,盗火线,8.5,143364,1995-12-15
99,王牌对王牌,8.5,139951,1998-07-29
100,杀死比尔,8.4,601397,2003-09-29
101,好家伙,8.5,134257,1990-09-09
102,情枭的黎明,8.7,52426,1993-11-10
103,卡里加里博士的小屋,8.9,32588,1920-02-26
104,小鬼当家,8.4,456794,1990-11-16
105,黑社会,8.4,230244,2005-10-20
106,堕落天使,8.4,220425,1995-09-06
107,英雄本色2,8.4,199334,1987-12-17
108,椿三十郎,8.8,38289,1962-01-01
109,老无所依,8.4,339890,2007-05-19
110,杀死比尔：整个血腥事件,8.7,48759,2011-03-27
111,杀死一只知更鸟,8.6,65865,1962-12-25
112,美国X档案,8.5,105629,1998-10-30
113,追击者,8.4,257636,2008-02-14
114,监狱风云,8.4,140755,1987-11-13
115,落水狗,8.4,241200,1992-01-21
116,危情十日,8.5,97509,1990-11-30
117,嫌疑人X的献身,8.4,223771,2008-10-04
118,罪恶之城,8.4,210052,2005-04-01
119,流浪者之歌,9.0,24984,1988-12-21
120,烈日灼心,8.3,747787,2015-08-27
121,黑洞频率,8.4,136308,2000-04-28
122,特写,8.9,27073,1990-02-01
123,名侦探柯南：瞳孔中的暗杀者,8.4,131198,2000-04-22
124,天注定,8.3,256984,2013-05-17
125,恶童,8.5,70274,2006-12-23
126,黑社会2：以和为贵,8.3,178269,2006-04-27
127,飓风营救,8.3,282178,2008-04-09
128,青之炎,8.6,46563,2003-03-15
129,放·逐,8.3,147704,2006-09-06
130,绅士们,8.3,244680,2019-12-03
131,疤面煞星,8.4,97827,1983-12-01
132,机动部队,8.3,127664,2003-04-17
133,汉尼拔,8.3,228658,2001-02-09
134,回家的路,8.5,60844,2013-12-11
135,猛龙过江,8.4,52571,1972-12-30
136,暗花,8.3,117556,1998-01-01
137,午夜狂奔,8.6,43700,1988-07-20
138,夜行者,8.3,185572,2014-09-05
139,天才瑞普利,8.3,179937,1999-12-25
140,宿敌,8.5,55898,2022-04-28
141,跛豪,8.3,93288,1991-04-15
142,精疲力尽,8.4,82002,1960-03-16
143,少年的你,8.2,1542162,2019-10-25
144,布朗克斯的故事,8.8,27273,1993-09-09
