排名,电影名,评分,评论数,上映时间
1,黄金三镖客,9.2,129258,1966-12-23
2,淘金记,9.2,62676,1925-06-26
3,让子弹飞,9.0,1784361,2010-12-16
4,革命往事,9.1,23062,1971-10-29
5,与狼共舞,8.9,84729,1990-11-21
6,黄昏双镖客,8.9,55727,1965-12-18
7,被解救的姜戈,8.8,641744,2013-05-12
8,燃情岁月,8.7,299631,1994-12-16
9,西部往事,8.7,58498,1968-12-20
10,八恶人,8.6,285011,2015-12-07
11,回到未来3,8.6,104964,1990-05-25
12,巴斯特·斯克鲁格斯的歌谣,8.5,142756,2018-08-31
13,不可饶恕,8.5,78804,1992-08-03
14,无人区,8.4,556429,2013-12-03
15,小马王,8.6,25396,2002-05-24
16,虎豹小霸王,8.6,22146,1969-10-10
17,荒野大镖客,8.4,79086,1964-09-12
18,大地惊雷,8.3,121655,2010-12-22
19,正午,8.4,26018,1952-07-07
20,碧血金沙,8.6,10010,1948-01-07
21,赴汤蹈火,8.1,69869,2016-05-16
22,关山飞渡,8.3,18413,1939-02-02
23,兰戈,8.0,151629,2011-02-14
24,日落黄沙,8.3,12186,1969-06-18
25,决战犹马镇,8.0,46987,2007-09-07
26,马语者,8.1,21808,1998-05-15
27,佐罗,8.1,19334,1975-03-06
28,犬之力,7.9,90607,2021-09-02
29,离魂异客,8.0,24004,1995-05-26
